idade;sexo;p41aa;p41ab;p41ad;p41ae;p41af;p41ag;p41ah;p41ai;p41aj;p41ak;p41al;p41am;p41an;p41ao;p41ap;p42a;p42b;p42d;p42e;p42f;p42g;p42h;p42i;p42j;p42k;p42l;p42m;p42n;p42o;p42p;p43a;p43b;p43d;p43f;p43g;p43h;p43i;p43j;p43k;p43l;p43m;p43n;p43o;p43p;cor;carro;empreg;maqlav;dvd;banhe;gelad;freezer;comput;lavlou;microon;motocic;secadora;agua;rua;escola;renda;RCLASSE2;INV1p45a;INV1p45b;INV1p45c;INV1p45d;INV1p45e;INV1p45f;INV1p45g;INV1p45h;INV1p45i;INV1p45j;INV1p45k;INV1p45l;INV1p45m;INV1p45n;INV1p45o;INV1p45p;INV1p45q
82;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;10;10;10;10;10;9;10;10;10;5;8;0;0;9;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;96;96;1;1;2;1;1;96;96;1;96;96;1;2;1;1;5;6;6;6;4;6;6;6;1;1;6;6;6;6;6;6;6;1
64;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;5;5;0;5;0;5;5;5;0;0;0;5;0;0;8;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;96;1;1;1;1;96;96;96;1;96;1;1;1;1;2;5;6;6;6;6;1;1;6;6;1;6;6;6;1;6;6;6;1
55;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;6;7;7;4;7;8;4;7;2;5;4;4;5;6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;6
33;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;7;5;6;6;5;3;3;3;2;5;6;3;5;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;96;96;96;96;1;1;96;96;96;96;96;96;1;1;1;99;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
55;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;9;0;0;0;0;0;10;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;6
77;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;2;0;1;2;2;2;1;2;7;0;0;6;0;6;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;1;96;1;98;1;1;6;6;6;6;5;6;5;6;6;6;6;6;6;2;6;6;5;5
63;2;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;0;5;5;5;0;0;10;8;5;0;3;10;5;5;0;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;96;96;1;1;1;1;96;96;96;96;96;1;1;1;1;1;6;6;6;6;6;2;6;6;6;5;6;6;6;1;6;6;6;1
43;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;0;6;0;0;0;0;0;8;0;4;0;7;0;0;5;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;96;1;96;96;96;96;96;96;1;2;1;1;6;6;6;6;1;6;1;6;1;1;6;6;6;1;6;6;1;6
74;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;9;8;10;6;8;8;10;10;8;5;10;10;10;7;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;1;1;1;1;96;96;96;96;96;1;1;1;1;6;6;6;6;4;6;6;6;4;6;6;6;1;1;1;6;5;2
60;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;10;10;10;10;10;10;10;10;10;0;0;10;10;10;7;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;96;96;1;1;1;96;96;96;96;1;96;1;1;1;1;6;6;6;6;6;4;6;6;6;4;6;6;6;1;6;6;6;6
68;2;1;1;2;1;2;1;1;1;1;1;2;1;1;1;2;3;2;3;2;3;2;2;3;8;3;2;2;2;5;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;1;1;1;96;96;96;96;96;96;2;2;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6
63;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;2;0;1;1;1;2;8;2;2;2;2;2;0;2;2;2;2;2;2;2;1;2;2;2;2;2;1;3;1;96;96;96;1;1;96;96;96;96;96;96;2;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
42;2;1;1;1;2;1;1;1;1;1;2;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;96;1;1;96;96;96;96;96;1;1;1;1;97;6;6;6;6;6;1;6;4;6;6;6;6;6; ;6;6;6;6
54;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;10;10;2;10;10;3;5;10;5;10;10;10;8;10;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;96;96;1;1;1;96;96;1;1;96;1;1;1;1;6;6;6;6;6;6;1;6;6;1;6;6;6;6;6;6;1;6
74;2;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;96;1;96;1;1;1;96;96;96;1;1;1;1;1;1;5;6;6;6;5;5;6;6;6;6;6;6;6;6;6;6;6;6
34;1;1;1;2;2;2;2;2;2;1;2;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;96;1;1;96;96;96;96;96;96;1;2;1;97;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;6
57;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;96;1;1;96;96;96;1;96;96;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
49;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;10;10;10;10;10;10;10;10;10;10;10;10;10;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;1;96;1;1;1;96;96;1;96;96;1;1;1;1;5;6;6;6;6;6;6; ;6;6;6;6;6;1;6;6;6;1
40;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;1;1;99;6;6;6;6;6;6;6;6;6;6;6;6;6; ;6;6;6;1
60;1;2;1;2;1;2;2;2;1;2;2;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;1;1;2;96;1;96;1;96;96;1;1;1;97;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
39;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;8;4;3;3;4;4;2;3;4;7;4;10;6;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;96;96;96;96;1;1;96;96;96;96;96;96;2;1;2;1;6;6;6;6;3;4;6;6;5;5;6;6;6;1;5;6;5;1
49;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;96;1;1;96;96;96;96;96;96;98;2;2;1;6;6;6;6;6;1;6;4;6;3;6;6;6;4;6;6;6;1
50;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;10;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;96;96;96;96;1;1;1;96;96;96;96;96;1;1;2;1;6;6;6;6;6;2;6;6;6;2;6;6;6;6;1;6;6;1
61;2;1;1;2;2;2;2;1;2;2;2;2;1;2;1;1;5;5;0;5;5;5;0;0;5;0;0;5;0;5;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;2;1;1;96;1;96;96;96;96;1;1;2;1;5;6;6;6;2;6;6;6;6;4;6;6;6;2;6;6;5;1
56;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;1;1;1;96;96;96;1;96;96;1;1;2;1;6;6;6;6;6;6;4;6;5;6;6;6;6;5;4;6;4;6
57;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;10;10;10;10;10;10;10;10;10;10;10;10;0;10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;1;1;1;96;96;96;96;96;96;1;1;2;1;6;6;6;6;1;6;6;6;6;6;6;6;6;1;6;6;6;1
64;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;10;10;8;10;10;10;10;10;6;4;5;0;0;10;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;1;1;1;1;1;96;1;96;96;1;1;2;1;5;6;6;6;6;4;6;6;6;6;6;6;6;1;6;6;6;1
65;2;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;5;5;0;5;0;0;5;0;5;0;0;10;5;5;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;1;1;1;96;1;96;96;96;96;1;1;2;1;5;6;6;6;4;6;6;6;6;6;6;6;6;4;6;6;6;4
27;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;10;10;10;10;0;0;10;10;10;10;10;10;10;5;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;3;1;1;96;96;96;96;96;96;1;1;2;1;5;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;2
34;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;0;5;5;0;5;5;5;5;5;0;5;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;1;96;96;96;96;96;1;1;2;1;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
51;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;1;1;1;1;96;96;96;96;96;2;2;2;97;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
70;1;1;1;2;2;2;2;2;1;1;1;1;2;1;1;1;10;10;0;0;0;0;0;5;10;10;10;0;10;10;0;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;1;96;1;1;2;1;1;1;96;1;96;1;1;1;2;3;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;6
62;2;1;1;2;1;2;2;2;2;1;2;2;1;1;2;1;10;10;0;10;10;10;10;10;10;10;10;3;10;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;96;2;1;1;1;96;1;96;96;1;1;2;1;4;6;6;6;6;6;6;6;6;1;6;6;6;1;6;6;6;1
67;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;96;96;1;1;1;1;2;1;96;1;96;96;1;1;2;1;4;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1
51;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;10;10;10;0;0;0;0;0;0;10;10;0;0;0;10;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;1;96;1;1;1;1;96;1;1;1;1;96;1;1;2;1;4;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;6
41;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;1;1;0;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;96;96;96;1;1;1;96;96;96;1;96;96;1;2;2;1;6;6;6;6;6;4;6;6;6;4;6;6;6;1;1;6;6;1
57;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;1;1;1;1;96;96;96;96;96;1;1;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
41;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;10;10;9;8;4;9;10;10;8;8;7;9;10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;96;1;1;1;1;2;96;96;96;96;96;1;1;2;1;4;6;6;6;6;3;6;6;6;2;6;6;6;1;5;6;4;6
45;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;96;96;96;1;1;1;96;96;96;1;1;96;1;1;2;1;5;6;6;6;1;1;6;6;6;6;6;6;6;1;6;6;6;1
28;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;1;1;96;96;96;96;96;96;1;1;2;1;6;6;6;6;6;4;6;6;6;6;6;6;6;1;6;6;6;6
38;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;9;10;10;9;9;9;10;9;10;10;9;9;9;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;1;1;2;1;1;96;96;1;96;96;1;1;2;1;4;6;6;6;6;1;6;6;6;6;6;6;6;1;6;6;6;6
33;1;1;1;2;1;2;2;2;1;2;2;2;2;2;1;2;0;0;0;10;0;0;0;5;0;0;0;3;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;1;1;96;96;96;96;96;96;1;1;2;1;6;6;6;6;6;6; ;6;6;6;6;6;6;1;6;6;6;6
21;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;1;1;96;96;96;96;96;96;1;1;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1
63;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;96;1;1;2;4;3;1;96;1;1;96;1;1;2;1;3;6;6;6;1;5;6;6;1;6;6;6;6;1;6;6; ;6
24;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;8;10;10;10;9;10;10;10;10;10;10;10;10;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;1;1;1;1;1;1;96;1;96;96;1;2;2;1;4;6;6;6;6;1;6;6;4;4;6;6;6;1;6;6;6;5
32;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;0;5;0;0;0;0;0;10;0;0;0;10;0;10;8;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;1;1;1;1;1;96;96;96;96;96;1;1;2;1;5;6;6;6;6;6;6;6;6;6;6;6;6;3;6;6;6;6
60;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;10;10;10;10;10;10;10;10;5;10;10;5;10;10;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;96;96;96;96;1;1;96;96;96;1;96;96;1;1;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
76;2;1;1;1;1;1;1;2;1;1;2;2;1;2;1;2;10;0;0;8;8;0;0;0;8;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;96;1;1;1;1;1;1;96;96;1;1;2;1;4;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1
17;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;96;1;1;1;96;96;96;96;1;96;1;1;3;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2
53;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;10;10;10;10;10;10;10;10;10;10;10;10;5;5;10;1;1;2;2;2;2;2;2;2;2;1;2;1;1;2;96;96;1;1;1;1;96;96;96;96;96;96;2;1;3;1;6;6;6;6;1;2;6;6;6;1;6;6;6;1;6;6;6;1
27;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;0;3;10;0;0;0;5;0;7;0;0;2;0;10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;96;1;1;1;1;96;96;96;96;96;96;1;1;3;1;6;6;6;6;1;5;6;6;6;6;6;6;6;1;6;6;6;1
28;2;1;2;1;2;2;2;2;1;1;2;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;1;1;1;1;96;96;1;1;96;1;1;3;1;5;6;6;6;6;6;6;6;6;5;6;6;6;1;6;6;6;6
62;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;10;10;8;10;10;10;5;10;5;5;5;5;5;10;10;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;96;1;1;3;1;1;3;96;1;96;96;1;1;3;3;2;6;6;6;6; ;6;6;6;6;6;6;6; ;6;6; ;1
60;2;1;1;1;2;2;1;1;1;1;2;2;1;1;1;1;9;9;4;8;9;6;6;7;8;0;0;10;9;10;10;1;2;2;2;2;2;1;1;2;2;1;2;2;1;1;2;96;1;3;2;1;1;1;96;1;1;96;1;1;3;3;3;6;6;6;6;5;6;6;6;6;6;6;6;6;4;6;6;1
52;2;1;1;1;2;2;2;1;1;1;2;2;1;1;2;2;0;0;0;0;0;0;5;0;0;0;0;5;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;96;1;1;1;1;1;1;96;1;96;1;1;1;3;99;4;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;6
34;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;96;96;1;1;1;96;96;96;1;1;96;2;1;3;1;6;6;6;6;4;4;6;6;6;6;6;6;6;1;1;6;6;1
32;1;1;1;1;1;2;1;1;1;1;2;2;2;1;1;2;0;0;0;0;0;0;0;2;5;0;0;0;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;1;1;1;1;96;96;96;96;96;96;2;2;4;1;6;6;6;6;4;6;6;6;6;4;6;6;6;6;4;6;6;4
31;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;1;1;1;1;96;96;96;96;96;96;1;1;4;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1
26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;10;10;10;10;10;10;10;10;10;1;10;10;10;10;0;2;2;2;2;2;2;2;2;2;2;1;2;2;1;3;96;96;96;96;1;1;1;1;96;1;96;96;1;1;4;1;5;6;6;6;1;6;1;6;6;6;6;6;6;1;6;6;6;6
16;1;1;1;1;1;1;1;1;2;1;2;2;1;1;2;2;0;0;2;0;0;0;0;1;0;0;1;4;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;3;1;1;2;1;96;1;1;1;1;1;4;1;3;6;6;6;6;6;6;6;6;1;6;6;6;1;6;6;6;6
28;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;1;96;1;1;96;96;96;1;96;96;1;2;4;99;6;6;6;6;1;1;6;6;6;1;6;6;6;1;6;6;6;1
21;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;1;1;1;96;1;96;1;96;96;1;1;4;1;5;6;6;6;6;5;5;4;6;5;6;6;6;1;6;6;5;1
19;1;2;1;1;2;1;1;1;1;1;1;1;2;1;1;2;0;0;7;0;0;0;0;0;0;5;5;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;1;1;1;1;96;96;96;96;1;1;1;4;97;5;6;6;6;1;3;6;6;6;6;6;6;6;1;2;6;1;6
16;2;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;5;3;6;5;5;3;7;4;6;0;0;6;4;4;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;1;1;2;96;96;96;96;96;96;1;1;4;1;6;6;6;6;1;6;6;5;2;5;6;6;6;5;6;6;5;5
18;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;10;10;0;0;0;0;0;0;0;0;10;0;10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;96;96;96;96;1;1;96;96;96;96;96;96;1;1;4;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1
18;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;1;1;1;96;1;96;96;96;96;1;1;4;1;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
17;1;1;2;1;1;1;1;1;1;2;2;1;2;2;1;2;0;10;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;2;1;1;96;96;96;96;96;1;1;4;1;5;6;6;6;4;4;4;4;6;1;6;6;4;4;6;6;5;3
19;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;2;2;4;4;3;2;2;3;3;2;3;3;4;3;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;2;1;96;96;96;1;1;96;1;1;4;1;5;6;6;6;6;6;6;6;6;6;6;6;6;1;5;6;6;6
22;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;96;96;1;96;1;1;96;96;96;1;96;96;1;1;4;1;5;6;6;6;6;6;6;6;6;1;6;6;6;1;6;6;6;6
16;1;1;1;2;1;1;1;1;1;1;2;2;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;96;1;1;2;1;1;96;96;1;96;1;2;1;4;99;4;6;6;6;3;1;6;6;6;6;6;6;6;1;6;6;6;6
36;1;1;1;2;1;1;1;2;1;1;2;2;1;1;2;2;10;10;0;10;10;10;0;10;10;0;0;10;10;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;1;1;2;1;1;4;96;1;1;96;1;1;4;3;2;6;6;6;2;6;5;6;6;2;6;6;5;6;2;6;2;4
38;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;7;6;7;10;8;7;8;5;10;9;9;5;10;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;96;96;96;96;1;1;96;96;96;96;96;96;98;1;4;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1
16;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;10;10;10;10;5;5;10;5;10;0;10;10;4;10;10;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;96;96;1;1;1;1;2;1;96;2;1;96;1;2;4;1;4;6;6;6;2;6;6;6;6;6;6;6;6;1;6;6;6;6
30;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;2;2;1;2;2;2;2;2;2;2;1;2;1;1;1;96;96;1;96;1;1;1;96;96;1;96;96;1;1;4;1;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;1
64;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;10;0;0;0;0;0;0;8;10;0;0;10;0;10;0;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;1;2;1;96;1;1;96;96;96;1;96;96;1;2;4;1;4;6;6;6;6;6;6;5;6;6;6;6;6;5;5;6;6;6
40;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;2;3;2;2;2;0;0;3;2;3;2;7;3;5;10;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;96;96;1;1;1;1;96;1;96;1;96;96;1;1;5;1;4;6;6;6;6;6;6;6;6;6;6;6;6;1;6;6;6;1
17;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;1;1;1;1;1;1;1;96;96;1;1;5;1;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5
51;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;5;5;6;0;0;0;0;0;5;0;0;0;5;5;0;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;1;96;1;96;2;1;96;1;96;96;1;96;1;2;5;3;4;6;6;6;1;1;6;6;6;6;6;6;6;1;6;6;6;1
40;2;1;1;1;1;1;1;1;1;1;2;2;1;2;1;2;9;10;9;10;10;10;10;8;9;1;0;9;0;10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;96;96;96;1;1;1;96;96;96;96;96;96;1;1;5;1;6;6;6;6;6;1;6;6;6;6;6;6;6;1;6;6;6;1
35;2;1;2;1;2;1;2;2;1;2;1;1;2;1;2;2;5;10;10;10;0;6;7;5;10;10;10;0;6;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;96;1;1;1;1;1;1;96;1;96;96;1;1;5;1;4;6;6;6;6;6; ;6;6;6;6;6;6;6;6;6;6;6
16;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;10;10;7;10;10;10;10;10;10;6;7;10;10;9;0;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;96;96;96;1;1;1;96;96;96;96;96;96;1;1;5;1;6;6;6;6;1;1;6;6;6;6;6;6;6;1;6;6;6;1
37;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;3;0;0;4;3;0;0;9;1;0;0;1;1;4;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;1;1;2;1;96;96;96;1;96;96;1;1;5;2;4;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6
17;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;5;0;0;5;0;0;5;0;0;0;0;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;1;1;1;1;1;96;96;96;1;1;1;5;99;5;6;6;6;1;6;6;6;6;6;6;6;6;1;6;6;6;6
20;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;2;2;0;1;0;1;2;5;0;5;5;2;5;4;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;1;1;2;96;96;96;1;1;1;1;2;5;1;5;6;6;6;1;6;6;6;6;6;6;6;6;4;6;6;6;1
